"","C.Block","number.races","race","percent.pop"
"559","060750610001","1","White",0.16355748373102
"560","060750610002","1","White",0.207007837713232
"561","060750611001","1","White",0.131774707757705
"562","060750611002","1","White",0.0414884516680924
"563","060750611003","1","White",0.00744416873449132
"564","060750612001","1","White",0.225707727620505
"565","060750612002","1","White",0.214653902798233
"566","060750614001","1","White",0.643446001648805
"567","060750614002","1","White",0.692090395480226
"568","060750614003","1","White",0.75297410776767
"569","060750615001","1","White",0.536375661375661
"570","060750615002","1","White",0.374439461883408
"571","060750615003","1","White",0.557227542179663
"572","060750615004","1","White",0.619586614173228
"573","060750615005","1","White",0.84979702300406
"574","060750615006","1","White",0.640177175612298
"575","060759802001","1","White",0.719063545150502
"576","060759803001","1","White",0.888888888888889
"577","060759804011","1","White",NA
"578","060759805011","1","White",0.117647058823529
"579","060759806001","1","White",0.241895261845387
"580","060759809001","1","White",0.504065040650406
"581","060759901000","1","White",NA
"582","060750101001","1","Black",0
"583","060750101002","1","Black",0.0235335440814893
"584","060750102001","1","Black",0
"585","060750102002","1","Black",0
"586","060750102003","1","Black",0.0198675496688742
"587","060750103001","1","Black",0
"588","060750103002","1","Black",0
"589","060750103003","1","Black",0
"590","060750104001","1","Black",0
"591","060750104002","1","Black",0
"592","060750104003","1","Black",0
"593","060750104004","1","Black",0
"594","060750105001","1","Black",0.0192307692307692
"595","060750105002","1","Black",0.0152198421645998
"596","060750106001","1","Black",0
"597","060750106002","1","Black",0.0267459138187221
"598","060750106003","1","Black",0
"599","060750107001","1","Black",0.128839590443686
"600","060750107002","1","Black",0
"601","060750107003","1","Black",0
"602","060750107004","1","Black",0
"603","060750108001","1","Black",0
"604","060750108002","1","Black",0
"605","060750108003","1","Black",0
"606","060750109001","1","Black",0.0138004246284501
"607","060750109002","1","Black",0.0167658193618172
"608","060750109003","1","Black",0.0082093381221139
"609","060750110001","1","Black",0.0346205059920107
"610","060750110002","1","Black",0.00875364735306378
"611","060750110003","1","Black",0.0106827682303762
"612","060750111001","1","Black",0.0105414470531864
"613","060750111002","1","Black",0.0483870967741935
"614","060750111003","1","Black",0.0529100529100529
"615","060750112001","1","Black",0.012012012012012
"616","060750112002","1","Black",0.0258899676375405
"617","060750112003","1","Black",0.00122100122100122
"618","060750113001","1","Black",0
"619","060750113002","1","Black",0.0613924050632911
"620","060750117001","1","Black",0
"621","060750117002","1","Black",0.120634920634921
"622","060750118001","1","Black",0.00114942528735632
"623","060750119011","1","Black",0.0714285714285714
"624","060750119012","1","Black",0.0598290598290598
"625","060750119021","1","Black",0.0124740124740125
"626","060750119022","1","Black",0.0442225392296719
"627","060750120001","1","Black",0.0949852507374631
"628","060750120002","1","Black",0.105995717344754
"629","060750121001","1","Black",0.0247905027932961
"630","060750121002","1","Black",0.0464426877470356
"631","060750122011","1","Black",0.0685612788632327
"632","060750122012","1","Black",0.0823395797842135
"633","060750122021","1","Black",0.182851575186749
"634","060750123011","1","Black",0.0846366145354186
"635","060750123012","1","Black",0.227596017069701
"636","060750123021","1","Black",0.0371900826446281
"637","060750123022","1","Black",0.154784240150094
"638","060750124011","1","Black",0.0760023937761819
"639","060750124012","1","Black",0.0642420122365738
"640","060750124021","1","Black",0.0766129032258065
"641","060750124022","1","Black",0.0427263479145473
"642","060750124023","1","Black",0.0642256902761104
"643","060750125011","1","Black",0.0797757654161276
"644","060750125012","1","Black",0.200325732899023
"645","060750125021","1","Black",0.170466883821933
"646","060750125022","1","Black",0.0913081650570676
"647","060750126011","1","Black",0
"648","060750126021","1","Black",0
"649","060750126022","1","Black",0
"650","060750127001","1","Black",0.0954907161803713
"651","060750127002","1","Black",0
"652","060750127003","1","Black",0
"653","060750128001","1","Black",0
"654","060750128002","1","Black",0
"655","060750128003","1","Black",0
"656","060750128004","1","Black",0.138805970149254
